procedure_id,procedure_name,benchmark_rate,source_count,category,data_nature
PROC001,TAVI/ TAVR Implant,1284000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC002,ABO incompatible Transplantation,490000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC003,Swap Transplantation,388000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC004,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,300000.0,1,Diagnostics,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC005,Heart transplant,276000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC006,IVL (Coronary Intra vascular Lithotripsy / shock wave Lithotripsy - including GST,268000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC007,Kidney Transplantation (related),200000.0,1,Diagnostics,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC008,"Consolidation (Phase II, CNS Therapy Reinduction)",184300.0,1,Imaging,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC009,CABG + Intra-Aortic Balloon Pump (IABP),169000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC010,CABG + Valve.,169000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC011,Conduit repair,169000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC012,Atrioventricular(AV) canal repair,161000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC013,Intracranial balloon angioplasty with stenting,160000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC014,Intracranial thrombolysis / clot retrieval,160000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC015,Fontan procedure,159500.0,2,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC016,Double Valve Replacement (DVR),155422.0,1,Procedure,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC017,Radiofrequency (RF) ablation Atrial Tachycardia/ with 3-D mapping-All inclusive,153850.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC018,AP window repair,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC019,AVR + Root enlargement,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC020,Aortic Aneurysm,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC021,Aortic Arch Replacement using bypass,150000.0,1,Procedure,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC022,Arch interruption Repair with VSD closure,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC023,Arch interruption Repair without VSD closure,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC024,Arterial switch operation,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC025,Bental Procedure,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC026,Complete AV canal repair,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC027,DORV Repair,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC028,Double switch operation,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC029,Dural AVFs (per sitting) with onyx,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC030,Dural AVMs (per sitting) with onyx,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC031,Ebstien repair,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC032,Konno procedure,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC033,Mustard Operation,150000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
