hospital_id,hospital_name,city,state,pincode,hospital_type,ownership_type,rating,beds,specialities,source_type,record_nature
HOSP00001,Guardian Belagavi Health Centre,Belagavi,Karnataka,712081,Super Speciality,Private,3.6,20,"Cardiology, Nephrology, Oncology, Pediatrics, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00002,Lotus Bengaluru Medical Centre,Bengaluru,Karnataka,828808,Super Speciality,Charitable,3.3,20,"Oncology, Nephrology, General Medicine, Emergency, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00003,Metro Meerut Health Centre Unit 1,Meerut,Uttar Pradesh,667063,Multispeciality,Trust,4.3,200,"Neurology, Nephrology, Gynaecology, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00004,Sanjeevani Surat MultiSpeciality Hospital,Surat,Gujarat,203625,Super Speciality,Charitable,4.8,100,"Diagnostics, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00005,WellCare Shillong Medical Centre,Shillong,Meghalaya,110885,Super Speciality,Private,4.7,15,"Cardiology, Pediatrics, General Medicine, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00006,Guardian Solapur Super Speciality Hospital,Solapur,Maharashtra,510100,Diagnostic Centre,Government,4.4,150,"Emergency, Gynaecology, Orthopedics, Diagnostics, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00007,Shree Purnia Health Centre,Purnia,Bihar,271761,Diagnostic Centre,Trust,3.8,150,"Orthopedics, Diagnostics, General Medicine, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00008,Aarogya Pune Medical Centre,Pune,Maharashtra,198777,Diagnostic Centre,Government,4.9,30,"Neurology, Nephrology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00009,Veda Jodhpur Medical Centre,Jodhpur,Rajasthan,513403,Diagnostic Centre,Private,4.1,200,"Gynaecology, Orthopedics, Neurology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00010,Aarogya Bengaluru Health Centre,Bengaluru,Karnataka,392330,Diagnostic Centre,Trust,3.6,300,"Emergency, Oncology, General Medicine, Nephrology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00011,Fortune Vadodara Super Speciality Hospital,Vadodara,Gujarat,258990,Super Speciality,Private,4.0,20,"Nephrology, Emergency, Cardiology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00012,Veda Guntur Hospital,Guntur,Andhra Pradesh,827304,Clinic,Private,4.5,20,"Diagnostics, General Medicine, Oncology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00013,Aarogya Bengaluru Clinic,Bengaluru,Karnataka,551468,Diagnostic Centre,Private,4.0,100,"Pediatrics, Diagnostics, Orthopedics, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00014,Veda Nashik Super Speciality Hospital,Nashik,Maharashtra,769869,Super Speciality,Government,4.2,15,"Diagnostics, Orthopedics, General Medicine, Oncology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00015,Veda Davanagere Hospital,Davanagere,Karnataka,401346,Super Speciality,Private,3.4,20,"Orthopedics, Pediatrics, Emergency, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00016,Harmony Coimbatore Hospital Unit 1,Coimbatore,Tamil Nadu,801175,Multispeciality,Government,4.7,30,"Oncology, Orthopedics, Pediatrics, Neurology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00017,Apex Surat Clinic Unit 1,Surat,Gujarat,198502,Clinic,Trust,4.7,100,"Diagnostics, Orthopedics, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00018,Guardian Kochi Clinic,Kochi,Kerala,331100,Clinic,Government,4.4,30,"General Medicine, Pediatrics, Cardiology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00019,Sunrise Howrah Clinic Unit 1,Howrah,West Bengal,355012,Diagnostic Centre,Private,4.0,300,"Neurology, Nephrology, Pediatrics, Cardiology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00020,Guardian Mumbai Hospital,Mumbai,Maharashtra,666012,Super Speciality,Charitable,4.0,100,"Cardiology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00021,Medistar Howrah Clinic,Howrah,West Bengal,377748,Super Speciality,Private,3.7,20,"Nephrology, Gynaecology, Emergency, Pediatrics, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00022,Sunrise Panaji MultiSpeciality Hospital Unit 1,Panaji,Goa,541226,Multispeciality,Government,4.6,15,"Emergency, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00023,Lotus Amritsar MultiSpeciality Hospital Unit 1,Amritsar,Punjab,134852,Clinic,Government,3.6,15,"General Medicine, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00024,Veda Bhopal Super Speciality Hospital Unit 1,Bhopal,Madhya Pradesh,246218,Multispeciality,Government,3.4,500,"Diagnostics, Orthopedics, Cardiology, Oncology, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00025,Harmony Nizamabad MultiSpeciality Hospital,Nizamabad,Telangana,399810,Diagnostic Centre,Government,3.3,200,"Oncology, Pediatrics, Orthopedics, Neurology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00026,Harmony Amritsar Hospital Unit 1,Amritsar,Punjab,387522,Diagnostic Centre,Private,4.9,75,"Nephrology, Cardiology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00027,Shree Pune Health Centre,Pune,Maharashtra,676894,Diagnostic Centre,Private,4.0,30,"Gynaecology, Cardiology, Nephrology, Oncology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00028,Lifeline Jaipur Hospital Unit 1,Jaipur,Rajasthan,129677,Multispeciality,Private,4.4,200,"Orthopedics, General Medicine, Emergency, Oncology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00029,Harmony Aligarh Medical Centre,Aligarh,Uttar Pradesh,851979,Super Speciality,Charitable,4.2,300,"Nephrology, Neurology, Emergency, Diagnostics, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00030,City Kozhikode Health Centre Unit 1,Kozhikode,Kerala,237092,Clinic,Private,4.8,200,"Oncology, Pediatrics, Neurology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00031,City Howrah MultiSpeciality Hospital,Howrah,West Bengal,789260,Super Speciality,Private,4.0,75,"Orthopedics, Emergency, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00032,WellCare Silchar Super Speciality Hospital,Silchar,Assam,771250,Clinic,Private,3.9,20,"Nephrology, Cardiology, Diagnostics, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00033,Shree Karimnagar Medical Centre,Karimnagar,Telangana,360070,Multispeciality,Private,4.4,500,"Neurology, Cardiology, Pediatrics, Gynaecology, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00034,Lotus Bhavnagar Hospital Unit 1,Bhavnagar,Gujarat,535206,Multispeciality,Private,3.8,15,"Gynaecology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00035,Lotus Shimla Super Speciality Hospital Unit 1,Shimla,Himachal Pradesh,148670,Clinic,Trust,3.6,20,"Nephrology, General Medicine, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00036,Veda Madurai Hospital Unit 1,Madurai,Tamil Nadu,773394,Clinic,Government,3.4,30,"Pediatrics, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00037,Lotus Bokaro Health Centre,Bokaro,Jharkhand,229727,Clinic,Trust,3.3,20,"Diagnostics, Gynaecology, Cardiology, Neurology, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00038,Guardian Mysuru MultiSpeciality Hospital,Mysuru,Karnataka,682402,Diagnostic Centre,Private,4.9,500,"Oncology, Gynaecology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00039,Pioneer Saharanpur Medical Centre Unit 1,Saharanpur,Uttar Pradesh,286215,Super Speciality,Private,3.7,150,"Emergency, Orthopedics, Nephrology, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00040,Pioneer Erode Hospital,Erode,Tamil Nadu,504402,Clinic,Private,4.6,500,"General Medicine, Nephrology, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00041,Aarogya Margao Hospital,Margao,Goa,407515,Clinic,Charitable,4.4,500,"Nephrology, Orthopedics, Gynaecology, Cardiology, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00042,Harmony Hyderabad Health Centre,Hyderabad,Telangana,835273,Diagnostic Centre,Private,4.8,500,"Diagnostics, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00043,Fortune Surat Health Centre,Surat,Gujarat,549129,Multispeciality,Government,4.5,100,"Emergency, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00044,Shree Noida Hospital,Noida,Uttar Pradesh,642196,Multispeciality,Government,4.7,300,"Nephrology, Gynaecology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00045,Care Kolkata Medical Centre Unit 1,Kolkata,West Bengal,631683,Multispeciality,Trust,4.4,200,"Orthopedics, General Medicine, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00046,Medistar Ranchi MultiSpeciality Hospital,Ranchi,Jharkhand,155422,Clinic,Private,3.8,200,"General Medicine, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00047,Sunrise Jaipur Medical Centre,Jaipur,Rajasthan,576429,Multispeciality,Private,3.4,50,"Neurology, Gynaecology, Oncology, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00048,Lifeline Meerut MultiSpeciality Hospital Unit 1,Meerut,Uttar Pradesh,503775,Clinic,Private,4.5,50,"Cardiology, Nephrology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00049,Care Hubballi Clinic Unit 1,Hubballi,Karnataka,516146,Clinic,Private,4.2,30,"Orthopedics, Nephrology, Gynaecology, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00050,Medistar Dehradun MultiSpeciality Hospital,Dehradun,Uttarakhand,172550,Clinic,Private,3.3,500,"Orthopedics, Cardiology, Nephrology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00051,Guardian Haridwar Medical Centre Unit 1,Haridwar,Uttarakhand,778991,Super Speciality,Private,3.7,30,"Diagnostics, Emergency, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00052,City Vadodara Clinic,Vadodara,Gujarat,595243,Diagnostic Centre,Trust,3.6,200,"General Medicine, Neurology, Gynaecology, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00053,Sanjeevani Prayagraj Clinic Unit 1,Prayagraj,Uttar Pradesh,711569,Clinic,Charitable,4.2,30,"Neurology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00054,Care Tirunelveli Clinic,Tirunelveli,Tamil Nadu,584420,Multispeciality,Private,3.9,20,"Gynaecology, Cardiology, General Medicine, Oncology, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00055,Guardian Davanagere Medical Centre Unit 1,Davanagere,Karnataka,126704,Clinic,Private,3.6,20,"Pediatrics, Orthopedics, Nephrology, Neurology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00056,Pioneer Thrissur Hospital,Thrissur,Kerala,303930,Diagnostic Centre,Private,3.4,150,"Nephrology, General Medicine, Cardiology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00057,Sanjeevani Patna Health Centre,Patna,Bihar,678785,Multispeciality,Private,4.5,500,"Cardiology, Oncology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00058,Crystal Silchar Super Speciality Hospital,Silchar,Assam,597958,Super Speciality,Charitable,3.4,100,"Oncology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00059,Sunrise Bhopal Super Speciality Hospital Unit 1,Bhopal,Madhya Pradesh,461200,Multispeciality,Government,4.5,30,"Emergency, Cardiology, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00060,Pioneer Shimla Super Speciality Hospital Unit 1,Shimla,Himachal Pradesh,479845,Clinic,Trust,4.5,100,"Emergency, Neurology, Pediatrics, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00061,City Junagadh MultiSpeciality Hospital,Junagadh,Gujarat,603003,Super Speciality,Private,4.1,20,"Nephrology, Oncology, Cardiology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00062,Lotus Belagavi Hospital Unit 1,Belagavi,Karnataka,224678,Multispeciality,Private,3.5,20,"Pediatrics, Cardiology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00063,Fortune Tiruchirappalli Medical Centre,Tiruchirappalli,Tamil Nadu,546771,Clinic,Private,4.3,75,"Nephrology, Oncology, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00064,Lotus Navi Mumbai Super Speciality Hospital Unit 1,Navi Mumbai,Maharashtra,654862,Multispeciality,Private,3.3,50,"Neurology, Oncology, Emergency, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00065,Pioneer Aligarh Super Speciality Hospital,Aligarh,Uttar Pradesh,290080,Diagnostic Centre,Private,4.2,75,"Gynaecology, Nephrology, Oncology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00066,Care Gangtok Medical Centre,Gangtok,Sikkim,278601,Super Speciality,Private,4.8,500,"Orthopedics, Diagnostics, Emergency, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00067,Apex Surat Hospital,Surat,Gujarat,383057,Multispeciality,Charitable,4.2,200,"Orthopedics, Gynaecology, General Medicine, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00068,Sanjeevani Bengaluru MultiSpeciality Hospital Unit 1,Bengaluru,Karnataka,669566,Clinic,Private,4.1,30,"Cardiology, General Medicine, Neurology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00069,Metro Faridabad Clinic Unit 1,Faridabad,Haryana,642057,Super Speciality,Private,4.8,300,"Pediatrics, Nephrology, Diagnostics, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00070,Pioneer Prayagraj Super Speciality Hospital Unit 1,Prayagraj,Uttar Pradesh,465137,Clinic,Trust,4.4,200,"Nephrology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00071,Metro Vadodara Super Speciality Hospital Unit 1,Vadodara,Gujarat,577637,Multispeciality,Private,3.9,50,"Cardiology, Oncology, General Medicine, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
