serial_no,procedure_name,cghs_rate,nabh_hospital_rate,non_nabh_hospital_rate,category
1,Consultation OPD,350.0,350.0,350.0,Test
2,Consultation- for Inpatients,350.0,350.0,350.0,Test
3,Dressings of wounds,255.0,300.0,255.0,Surgery
4,Suturing of wounds with local anesthesia,108.0,124.0,108.0,Surgery
5,Aspiration Plural Effusion - Diagnostic,595.0,700.0,595.0,Surgery
6,Aspiration Plural Effusion - Therapeutic,595.0,700.0,595.0,Surgery
7,Abdominal / Peritoneal Aspiration - Diagnostic / Ascitic tapping/ paracentesis - Diagnostic,595.0,700.0,595.0,Surgery
8,Abdominal / Peritoneal Aspiration - Therapeutic / Ascitic tapping/ paracentesis - Therapeutic,640.0,750.0,640.0,Surgery
9,Pericardial Aspiration,380.0,437.0,380.0,Surgery
10,Joints Aspiration,317.0,365.0,317.0,Surgery
11,Biopsy Skin,230.0,265.0,230.0,Surgery
12,Removal of Stitches / Sutures (7-12 sutures),170.0,200.0,170.0,Surgery
13,Venesection,595.0,700.0,595.0,Surgery
14,Phimosis correction / Paraphimosis reduction / circumcision Under LA,5100.0,6000.0,5100.0,Surgery
15,Sternal puncture,173.0,199.0,173.0,Surgery
16,Injection / Sclerotherapy / Banding of Haemorrhoids,595.0,700.0,595.0,Surgery
17,Injection for Varicose Veins,595.0,700.0,595.0,Surgery
18,Urinary bladder Catheterisation,595.0,700.0,595.0,Surgery
19,Dilatation of Urethral stricture,1955.0,2300.0,1955.0,Surgery
20,Incision & Drainage under local Anaesthesia (Large),1955.0,2300.0,1955.0,Surgery
21,Intercostal Drainage,125.0,144.0,125.0,Surgery
22,Peritoneal Dialysis,1466.0,1686.0,1466.0,Surgery
23,Excision of Moles,345.0,397.0,345.0,Surgery
24,Excision of Warts,310.0,357.0,310.0,Surgery
25,Excision of Molluscum contagiosum,130.0,150.0,130.0,Surgery
26,Excision of Venereal Warts,160.0,184.0,160.0,Surgery
27,Excision of Corns,140.0,161.0,140.0,Surgery
28,I/D Injection Keloid(Intralesional Injection),97.0,112.0,97.0,Surgery
29,Chemical Cautery (s),110.0,127.0,110.0,Surgery
30,Subconjunctival/subtenon’s injections in one eyes,69.0,79.0,69.0,Surgery
31,Subconjunctival/subtenon’s injections in both eyes,138.0,159.0,138.0,Surgery
32,Pterygium Surgery,5500.0,6325.0,5500.0,Surgery
33,Conjunctival Peritomy,58.0,67.0,58.0,Surgery
34,Conjunctival wound repair or exploration following blunt trauma,3300.0,3795.0,3300.0,Surgery
35,Removal of corneal foreign body,115.0,132.0,115.0,Surgery
36,Cauterization of ulcer/subconjunctival injection in one eye,69.0,79.0,69.0,Surgery
37,Cauterization of ulcer/subconjunctival injection in both eyes,138.0,159.0,138.0,Surgery
38,Corneal grafting—Penetrating keratoplasty,5750.0,6613.0,5750.0,Surgery
39,Corneal grafting—Lamellar keratoplasty,5000.0,5750.0,5000.0,Surgery
40,Cyanoacrylate /fibrin glue application for corneal perforation,690.0,794.0,690.0,Surgery
41,Bandage contact lenses for corneal perforation,460.0,529.0,460.0,Scan
42,Scleral grafting or conjunctival flap for corneal perforation,2300.0,2645.0,2300.0,Surgery
43,Keratoconus correction with therapeutic contact lenses,1200.0,1380.0,1200.0,Scan
44,Ultraviolet (UV) radiation for cross-linking for keratoconus,1800.0,2070.0,1800.0,Surgery
45,EDTA for band shaped keratopathy,863.0,992.0,863.0,Surgery
46,Arcuate keratotomy for astigmatism,2800.0,3220.0,2800.0,Surgery
47,Re-suturing (Primary suturing) of corneal wound,1150.0,1323.0,1150.0,Surgery
48,Penetrating keratoplasty with glaucoma surgery,12144.0,13966.0,12144.0,Surgery
49,Penetrating keratoplasty with vitrectomy,12144.0,13966.0,12144.0,Surgery
50,Penetrating keratoplasty with IOL implantation,13656.0,15704.0,13656.0,Surgery
51,DALK- Deep anterior lamellar keratoplasty,17250.0,19838.0,17250.0,Surgery
52,Keratoprosthesis stage I and II,11500.0,13225.0,11500.0,Surgery
53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,16675.0,19176.0,16675.0,Surgery
54,ALTK- Automated lamellar therapeutic keratoplasty,16500.0,18975.0,16500.0,Surgery
55,Probing and Syringing of lacrimal sac- in one eye,69.0,79.0,69.0,Surgery
56,Probing and Syringing of lacrimal sac- in both eye,138.0,159.0,138.0,Surgery
57,Dacryocystorhinostomy—Plain,2875.0,3306.0,2875.0,Surgery
58,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,9750.0,11213.0,9750.0,Surgery
59,Dacryocystorhinostomy—conjunctival with implant,9200.0,10580.0,9200.0,Surgery
60,Caliculoplasty,2300.0,2645.0,2300.0,Surgery
61,Dacryocystectomy,1725.0,1984.0,1725.0,Surgery
62,Punctal plugs for dry eyes,130.0,150.0,130.0,Surgery
63,Refraction,40.0,46.0,40.0,Test
64,Indirect Ophthalmoscopy,67.0,77.0,67.0,Scan
65,Orthoptic check-up- with synoptophore,44.0,51.0,44.0,Surgery
66,Lees’ charting or Hess’ charting,100.0,115.0,100.0,Surgery
67,Orthoptic exercises,50.0,58.0,50.0,Surgery
68,Pleoptic exercises,50.0,58.0,50.0,Surgery
69,Perimetry/field test—Goldman,144.0,166.0,144.0,Scan
70,Perimetry/field test— automated,144.0,166.0,144.0,Scan
71,Fluorescein angiography for fundus or iris,920.0,1058.0,920.0,Scan
72,Ultrasound A- Scan,863.0,992.0,863.0,Scan
73,Ultrasound B- Scan,230.0,265.0,230.0,Scan
74,Fundus Photo Test,200.0,230.0,200.0,Scan
75,Indocyanin green angiography,920.0,1058.0,920.0,Scan
76,Corneal endothelial cell count with specular microscopy,230.0,265.0,230.0,Scan
77,Corneal topography,331.0,381.0,331.0,Scan
78,Corneal pachymetry,230.0,265.0,230.0,Scan
79,Auto-refraction,35.0,40.0,35.0,Test
80,Macular function tests,44.0,51.0,44.0,Test
81,Potential acuity metry,100.0,115.0,100.0,Surgery
82,Laser interferometry,173.0,199.0,173.0,Surgery
83,OCT-Optical coherence tomography,2125.0,2444.0,2125.0,Scan
84,HRT- Heidelberg’s retinal tomogram,150.0,173.0,150.0,Surgery
85,GDx Nerve fibre layer analyzer,88.0,101.0,88.0,Surgery
86,UBM- Ultrasound bio microscopy,150.0,173.0,150.0,Scan
87,Non Contact tonometry (NCT),50.0,58.0,50.0,Scan
88,IOP measurement with schiotz,30.0,35.0,30.0,Surgery
89,IOP measurement with applation tonometry,50.0,58.0,50.0,Surgery
90,Three mirror examination for retina,58.0,67.0,58.0,Surgery
91,90 D lens examination,50.0,58.0,50.0,Surgery
92,Gonioscopy,58.0,67.0,58.0,Surgery
93,Chalazion incision and curettage in one eye,400.0,460.0,400.0,Surgery
94,Chalazion incision and curettage in both eyes,431.0,496.0,431.0,Surgery
95,Ptosis surgery with fasanella servat procedure,2300.0,2645.0,2300.0,Surgery
96,Ptosis surgery with LPS resection one lid,5500.0,6325.0,5500.0,Surgery
97,Ptosis surgery with Sling surgery one lid,6670.0,7671.0,6670.0,Surgery
98,Ectropion surgery- one lid,1400.0,1610.0,1400.0,Surgery
99,Ectropion surgery- both lids,2500.0,2875.0,2500.0,Surgery
100,Epicanthus correction,1550.0,1783.0,1550.0,Surgery
101,Cantholysis and canthotomy,575.0,661.0,575.0,Surgery
102,Entropion surgery- one lid,1380.0,1587.0,1380.0,Surgery
103,Entropion surgery- both lids,2000.0,2300.0,2000.0,Surgery
104,Tarsorraphy,650.0,748.0,650.0,Surgery
105,Suturing of lid lacerations,1150.0,1323.0,1150.0,Surgery
106,Lid retraction repair,1700.0,1955.0,1700.0,Surgery
107,Concretions removal,115.0,132.0,115.0,Surgery
108,Bucket handle procedure for lid tumors,345.0,397.0,345.0,Surgery
109,Cheek rotation flap for lid tumors,6900.0,7935.0,6900.0,Surgery
110,Orbitotomy,8050.0,9258.0,8050.0,Surgery
111,Enucleation,3000.0,3450.0,3000.0,Surgery
112,Enucleation with orbital implants and artificial prosthesis,3000.0,3450.0,3000.0,Surgery
113,Evisceration,3450.0,3968.0,3450.0,Surgery
114,Evisceration with orbital implants and artificial prosthesis,5693.0,6547.0,5693.0,Surgery
115,Telecanthus correction,5175.0,5951.0,5175.0,Surgery
116,Orbital decompression,5750.0,6613.0,5750.0,Surgery
117,Exenteration,5750.0,6613.0,5750.0,Surgery
118,Exenteration with skin grafting,6900.0,7935.0,6900.0,Surgery
119,Fracture orbital repair,9200.0,10580.0,9200.0,Surgery
120,Retinal laser procedures,1500.0,1725.0,1500.0,Surgery
121,Retinal detachment surgery (RDS),11500.0,13225.0,11500.0,Surgery
122,Retinal detachment surgery (RDS) with scleral buckling,13800.0,15870.0,13800.0,Surgery
123,Buckle removal,1150.0,1323.0,1150.0,Surgery
124,Silicone oil removal,2800.0,3220.0,2800.0,Surgery
125,Anterior retinal cryopexy,1162.0,1336.0,1162.0,Surgery
126,Squint correction for one eye,5000.0,5750.0,5000.0,Surgery
127,Squint correction for both eyes,7500.0,8625.0,7500.0,Surgery
128,Trabeculectomy,6900.0,7935.0,6900.0,Surgery
129,Trabeculotomy,6900.0,7935.0,6900.0,Surgery
130,Trabeculectomy with Trabeculotomy,10350.0,11903.0,10350.0,Surgery
131,Trephination,2300.0,2645.0,2300.0,Surgery
132,Goniotomy,345.0,397.0,345.0,Surgery
133,Glaucoma surgery with Glaucoma valves,6900.0,7935.0,6900.0,Surgery
134,Cyclocryotherapy,1150.0,1323.0,1150.0,Surgery
135,YAG laser iridotomy,1500.0,1725.0,1500.0,Surgery
136,YAG laser capsulotomy,1093.0,1257.0,1093.0,Surgery
137,ALT-Argon laser trabeculoplasty,1495.0,1719.0,1495.0,Surgery
138,PDT-Photodymic therapy,3450.0,3968.0,3450.0,Surgery
139,TTT- Transpupillary thermal therapy,3000.0,3450.0,3000.0,Surgery
140,PTK- Phototherapeutic keratectomy,7500.0,8625.0,7500.0,Surgery
141,Argon/diode laser for retinal detatchment,1150.0,1323.0,1150.0,Surgery
142,Intralase application for keratoconus,5750.0,6613.0,5750.0,Surgery
143,EOG- electro-oculogram,900.0,1035.0,900.0,Surgery
144,ERG- Electro-retinogram,794.0,913.0,794.0,Surgery
145,VEP- visually evoked potential,800.0,920.0,800.0,Surgery
146,Vitrectomy- pars plana,11500.0,13225.0,11500.0,Surgery
147,Intravitreal injections of antibiotics,1150.0,1323.0,1150.0,Surgery
148,Intravitreal injections of Ranibizumab excluding cost of drug,3000.0,3450.0,3000.0,Surgery
149,X Ray orbit,115.0,132.0,115.0,Scan
150,CT orbit and brain,1600.0,1840.0,1600.0,Scan
151,MRI- Orbit and brain,3450.0,3968.0,3450.0,Scan
152,Dacryocystography,340.0,391.0,340.0,Surgery
153,Orbital angio-graphical studies,1500.0,1725.0,1500.0,Surgery
154,Extracapsular cataract extraction (ECCE) with IOL,3450.0,3968.0,3450.0,Scan
155,Small Incision Cataract Surgery (SICS) with IOL,5000.0,5750.0,5000.0,Scan
156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,10781.0,12398.0,10781.0,Surgery
157,Pars plana lensectomy with/without IOL,10350.0,11903.0,10350.0,Surgery
158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6900.0,7935.0,6900.0,Surgery
159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500.0,15525.0,13500.0,Scan
160,Optic nerve sheathotomy,7500.0,8625.0,7500.0,Surgery
161,Iridodialysis repair or papillary reconstruction,5000.0,5750.0,5000.0,Surgery
162,Iris cyst removal,850.0,978.0,850.0,Surgery
163,Lid Abscess incision and Drainage,1700.0,1955.0,1700.0,Surgery
164,Orbital Abscess incision and Drainage,3000.0,3450.0,3000.0,Surgery
165,Biopsy (eye),460.0,529.0,460.0,Surgery
166,Paracentesis (eye),230.0,265.0,230.0,Surgery
167,Scleral graft for scleral melting or perforation,2800.0,3220.0,2800.0,Surgery
168,Amniotic membrane grafting,1100.0,1265.0,1100.0,Surgery
169,Cyclodiathermy,2300.0,2645.0,2300.0,Surgery
170,Intraocular foreign body removal,187.0,215.0,187.0,Surgery
171,Electrolysis (eye),230.0,265.0,230.0,Surgery
172,Perforating injury repair (eye),4500.0,5175.0,4500.0,Surgery
173,Botulinum injection for blepharospasm or squint,2500.0,2875.0,2500.0,Surgery
174,Flap Operation per quadrant,360.0,414.0,360.0,Surgery
175,Gingivectomy per quadrant,234.0,269.0,234.0,Surgery
176,Reduction & immobilization of fracture- Maxilla Under LA,900.0,1035.0,900.0,Surgery
177,Reduction & immobilization of fracture-Mandible Under LA,3500.0,4025.0,3500.0,Surgery
178,Splints/Circummandibular wiring under LA,510.0,587.0,510.0,Surgery
179,splints/Circummandibular wiring under GA,990.0,1139.0,990.0,Surgery
180,Internal wire fixation/plate fixation of Maxilla under LA,3000.0,3450.0,3000.0,Surgery
181,Internal wire fixation/plate fixation of Maxilla under GA,4000.0,4600.0,4000.0,Surgery
182,Internal wire fixation/plate fixation of Mandible under LA,3500.0,4025.0,3500.0,Surgery
183,Internal wire fixation/plate fixation of Mandible under GA,4250.0,4888.0,4250.0,Surgery
184,Extraction per tooth under LA,80.0,92.0,80.0,Surgery
185,Complicated Extraction per Tooth under LA,100.0,115.0,100.0,Surgery
186,Extraction of impacted tooth under LA,160.0,184.0,160.0,Surgery
187,Extraction in mentally retarded/patients with systemic diseases/patient with special needs under short term GA,939.0,1080.0,939.0,Surgery
188,Cyst & tumour of Maxilla /mandible by enucleation/ excision/ marsupialisation upto 4 cms under LA,244.0,281.0,244.0,Surgery
189,Cyst & tumour of Maxilla / mandible by enucleation / excision / marsupialisation size more than 4 cms,406.0,467.0,406.0,Surgery
190,Cyst & tumour of Maxilla/mandible by enucleation/excision/marsupialisation size more than 4 cms under GA,1000.0,1150.0,1000.0,Surgery
191,TM joint ankylosis- under GA,7500.0,8625.0,7500.0,Surgery
192,Biopsy Intraoral-Soft tissue,374.0,430.0,374.0,Surgery
193,Biopsy Intraoral-Bone,374.0,430.0,374.0,Surgery
194,Hemi-mandibulectomy with graft,21000.0,24150.0,21000.0,Surgery
195,Hemi-mandibulectomy without graft,21000.0,24150.0,21000.0,Surgery
196,Segmental-mandibulectomy with graft,3400.0,3910.0,3400.0,Surgery
197,Segmental-mandibulectomy without graft,990.0,1139.0,990.0,Surgery
198,Maxillectomy- Total with graft,2500.0,2875.0,2500.0,Surgery
199,Maxillectomy- Total without graft,1950.0,2243.0,1950.0,Surgery
200,Maxillectomy- partial with graft,3000.0,3450.0,3000.0,Surgery
201,Maxillectomy- partial without graft,2500.0,2875.0,2500.0,Surgery
202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500.0,1725.0,1500.0,Surgery
