package_code,procedure_name,speciality,package_rate,category,level_of_care
BM001,% Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,Burns Management,7000,Surgical,Tertiary
BM001,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,40000,Surgical,Tertiary
BM001,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,50000,Surgical,Tertiary
BM001,"% Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,80000,Surgical,Tertiary
BM002,% Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,Burns Management,7000,Surgical,Tertiary
BM002,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,40000,Surgical,Tertiary
BM002,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,50000,Surgical,Tertiary
BM002,"% Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,80000,Surgical,Tertiary
BM003,% Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,Burns Management,7000,Surgical,Tertiary
BM003,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,40000,Surgical,Tertiary
